ID,Manufacturer,Type,Total Length (mm),Total Width (mm),Maximum Load (tons),Minumum radius (m),Maximum Radius (m),Boom length from (m),Boom length to (m),Maximum Hoist Height (m),Rental Cost $/Hr
1,Liebherr LG 1750 Model S,Lattice Boom,19262,16000,670,6,80,21,91,92,548.45
2,Liebherr LTC 1050-3.1 Model T,Telescoping Boom,10374,6192,44.4,3,33,8.2,36,39,175.65
3,Liebherr LTF 1045-4.1 Model T,Telescoping Boom,11943,6187,45,2.5,32,10.5,35,36,177.49
4,Liebherr LTF 1060-4.1 Model T,Telescoping Boom,11351,6840,60,2.5,36,10.2,40,40,217.01
5,Liebherr LTM 1030-2.1 Model T,All Terrain,10158,6028,35,3,26,9.2,30,30,142.97
6,Liebherr LTM 1040-2.1 Model T,All Terrain,10930,6028,40,2.5,31,10.5,35,35,161.31
7,Liebherr LTM 1050-3.1 Model T,All Terrain,11613,6400,50,3,34,11.4,38,38,191.97
8,Liebherr LTM 1055-3.2 Model T,All Terrain,11350,6300,55,2.5,36,10.2,40,40,205.06
9,Liebherr LTM 1060-3.1 Model T,All Terrain,11979,6300,60,2.1,40,10.3,48,48,217.01
10,Liebherr LTM 1070-4.2 Model T,All Terrain,12515,6300,70,2.5,40,11,50,50,238.18
11,Liebherr LTM 1090-4.2 Model T,All Terrain,13390,7300,90,3,56,11.4,60,59,272.7
12,Liebherr LTM 1095-5.1 Model T,All Terrain,14600,7000,95,3,54,12.5,58,58,280.13
13,Liebherr LTM 1100-4.2 Model T,All Terrain,14008,7009,100,3,50,11.5,60,91,287.18
14,Liebherr LTM 1100-5.2 Model T,All Terrain,13630,7000,100,2.7,50,11.5,52,52,287.18
15,Liebherr LTM 1100-5.2 Model T,All Terrain,14039,8315,110,3,54,11.5,60,59,300.27
16,Liebherr LTM 1130-5.1 Model T,All Terrain,15449,7500,130,3,56,12.7,60,60,323.21
17,Liebherr LTM 1160-5.2 Model T,All Terrain,15866,8306,180,2.5,60,13.1,62,62,367.91
18,Liebherr LTM 1200-5.1 Model T,All Terrain,15810,8300,200,3,68,13.2,72,72,382.39
19,Liebherr LTM 1230-5.1 Model T,All Terrain,16539,8094,230,3,72,12.7,75,75,401.58
20,Liebherr LTM 1250-5.1 Model T,All Terrain,16726,8294,250,3,58,13.1,60,60,413.04
21,Liebherr LTM 1300-6.2 Model T,All Terrain,17905,8532,300,3,74,14.7,78,78,438.08
22,Liebherr LTM 1350-6.1 Model T,All Terrain,18809,8530,350,3,66,14.9,70,70,459.26
23,Liebherr LTM 1400-7.1 Model T,All Terrain,18435,9510,400,3,58,15.4,60,60,477.6
24,Liebherr LTM 1450-8.1 Model T,All Terrain,19995,9600,450,3,82,16.1,85,84,493.78
25,Liebherr LTM 1500-8.1 Model T 86 m,All Terrain,21395,9600,500,3,74,16.1,84,84,508.25
26,Liebherr LTM 1750-9.1 Model T,All Terrain,21960,12009,750,3,50,16.3,52,52,563.94
27,Liebherr LRT 1090-2.1 Model T,Rough Terrain,14450,7300,90,2.7,40,12,47,47,272.7
28,Liebherr LRT 1100-2.1,Rough Terrain,15050,7300,100,2.5,42,12.6,50,50,287.18
29,Tadano GR-1100EX,Rough Terrain,14450,7300,110,2.5,42,12,56,58,300.27
30,Tadano GR-1450EX,Rough Terrain,16190,8200,145,2.5,56,13.1,61,65,338.21
31,Grove TMS800E,Telescoping Boom,15182,7315,70,2.5,36,12.6,39.4,42,238.18
32,Grove TMS9000E,Telescoping Boom,13321,7315,90,2.5,40,11,43.4,46,272.7
33,Terex TC2800-1,Lattice Boom,17950,14000,600,6,74,24,84,101,533.29
34,TADANO ATF100G-4,Telescoping Boom,13051,7200,100,2.5,48,11.1,51.2,54,287.18
35,Tadano GR-800EX,Rough Terrain,14375,7300,80,3,40,12,47,50,256.53
36,Tadano GR-600EX,Rough Terrain,13380,7300,60,3,36,11,43,46,217.01
37,Tadano TL-300E,Lattice Boom,12670,6100,30,3,30,10.5,33,35,121.8
