,m 12,m 16.4,m 20.8,m 29.5,m 38.3,m 42.6,m 47,,,,,
3,80,46.6,40.9,,,,,,,,,
3.5,74.2,46.6,40.9,,,,,,,,,
4,67,46.6,40.9,,,,,,,,,
4.5,60.9,46.6,40.9,,,,,,,,,
5,55.7,46.6,38.9,18.2,,,,,,,,
5.5,51.1,46.6,36.8,18.2,,,,,,,,
6,46.2,45.8,34.9,18.2,,,,,,,,
6.5,42.1,41.7,33.2,18.2,,,,,,,,
7,38.6,38.3,31.6,18.2,15.1,,,,,,,
7.5,35.6,34.4,30.1,18.2,15.1,,,,,,,
8,33,31,28.1,18.2,15.1,,,,,,,
9,24,24.9,23.3,18.2,15.1,11,,,,,,
10,,20.2,19.7,18.2,14.6,11,9.5,,,,,
11,,16.7,16.3,16.6,13.8,10.7,9.5,,,,,
12,,14,13.6,14.6,13,10.2,9.5,,,,,
14,,10.2,9.9,11.2,11.3,9.3,9.3,,,,,
16,,,7.3,8.6,9.1,8.5,8.6,,,,,
18,,,5.5,6.7,7.2,7.7,7.5,,,,,
20,,,,5.3,5.8,6.6,6.2,,,,,
22,,,,4.2,4.7,5.4,5,,,,,
24,,,,3.3,3.8,4.5,4.1,,,,,
26,,,,2.5,3,3.8,3.4,,,,,
28,,,,,2.4,3.1,2.8,,,,,
30,,,,,1.9,2.6,2.2,,,,,
32,,,,,1.5,2.2,1.8,,,,,
34,,,,,1.1,1.8,1.4,,,,,
36,,,,,,1.4,1.1,,,,,
38,,,,,,1.1,,,,,,
40,,,,,,0.9,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
